TRADING.CODE
1JANATAMF 
1STPRIMFMF 
AAMRANET 
AAMRATECH 
ABB1STMF 
ABBANK 
ACFL 
ACI 
ACIFORMULA 
ACMELAB 
ACTIVEFINE 
ADNTEL 
ADVENT 
AFCAGRO 
AFTABAUTO 
AGNISYSL 
AGRANINS 
AIBL1STIMF 
AIL 
AL-HAJTEX 
ALARABANK 
ALIF 
ALLTEX 
AMANFEED 
AMBEEPHA 
AMCL(PRAN) 
ANLIMAYARN 
ANWARGALV 
AOL 
APEXFOODS 
APEXFOOT 
APEXSPINN 
APEXTANRY 
APOLOISPAT 
ARAMIT 
ARAMITCEM 
ARGONDENIM 
ASIAINS 
ASIAPACINS 
ATCSLGF 
ATLASBANG 
AZIZPIPES 
BANGAS 
BANKASIA 
BARKAPOWER 
BATASHOE 
BATBC 
BAYLEASING 
BBS 
BBSCABLES 
BDAUTOCA 
BDCOM 
BDFINANCE 
BDLAMPS 
BDSERVICE 
BDTHAI 
BDWELDING 
BEACHHATCH 
BEACONPHAR 
BENGALWTL 
BERGERPBL 
BEXIMCO 
BGIC 
BIFC 
BNICL 
BPML 
BRACBANK 
BSC 
BSCCL 
BSRMLTD 
BSRMSTEEL 
BXPHARMA 
BXSYNTH 
CAPMBDBLMF 
CAPMIBBLMF 
CENTRALINS 
CENTRALPHL 
CITYBANK 
CITYGENINS 
CNATEX 
CONFIDCEM 
CONTININS 
COPPERTECH 
CRYSTALINS 
CVOPRL 
DACCADYE 
DAFODILCOM 
DBH 
DBH1STMF 
DELTALIFE 
DELTASPINN 
DESCO 
DESHBANDHU 
DHAKABANK 
DHAKAINS 
DOMINAGE 
DOREENPWR 
DSHGARME 
DSSL 
DULAMIACOT 
DUTCHBANGL 
EASTERNINS 
EASTLAND 
EASTRNLUB 
EBL 
EBL1STMF 
EBLNRBMF 
ECABLES 
EHL 
EIL 
EMERALDOIL 
ENVOYTEX 
ESQUIRENIT 
ETL 
EXIM1STMF 
EXIMBANK 
FAMILYTEX 
FARCHEM 
FAREASTFIN 
FAREASTLIF 
FASFIN 
FBFIF 
FEDERALINS 
FEKDIL 
FINEFOODS 
FIRSTFIN 
FIRSTSBANK 
FORTUNE 
FUWANGCER 
FUWANGFOOD 
GBBPOWER 
GEMINISEA 
GENEXIL 
GENNEXT 
GHAIL 
GHCL 
GLOBALINS 
GOLDENSON 
GP 
GPHISPAT 
GQBALLPEN 
GRAMEENS2 
GREENDELMF 
GREENDELT 
GSPFINANCE 
HAKKANIPUL 
HEIDELBCEM 
HFL 
HRTEX 
